0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.071083,-2.2832081,1.91056,2.9266071,-0.58200145,2.4560351,1.0039824,2.0842607,0.9999047,-1.2669315,1.7895281,-1.8501188,-1.5581566,-0.9074775,-0.869913,0.4670853,1.7352203,1.0093408,-0.54146284,1.9337451,1.4612495,-0.4050589,2.2920008,-0.7168335,0.36240277,1.0362029,-0.17087078,0.94671226,-1.888762,-0.52607733,0.6972595,1.1225026,-0.90575355,-0.30633828,-0.4156976,-3.704871,1.0161338,1.0894136,1.9398762,-0.80458605,-1.4537519,-0.10728677,2.9085212,-1.236755,-1.1957791,0.4478653,-1.891195,1.8466947,0.770773,-3.8151262
-0.004292781,0.353187,0.09956268,-0.077973396,0.34717074,-0.27444732,-0.40390006,-0.20484947,0.115138665,-0.23152535,0.059210006,0.121218085,-0.33776215,0.5561812,0.4291775,0.25439397,-0.9203802,-0.295843,-0.72638315,0.060028993,-0.12539858,0.1577338,-0.26565388,-0.34049433,-0.24184687,0.17595428,-0.22189546,-0.9083921,-0.04608322,0.28488812,0.11851514,0.26915017,0.099024184,-0.124526605,0.04936813,0.13514481,0.47023547,-0.6066195,-0.74490833,-0.56847024,0.089832045,-0.14907368,-0.2953585,-0.004144294,-0.15707596,0.40325138,-0.66850954,-0.30409196,0.4415243,-0.39737687
0.52287817,-0.10737326,1.9600232,0.59172475,-0.97088015,-0.48481235,1.6441127,0.75926155,0.8393349,0.047385015,-2.777288,3.8898923,3.8326092,-2.051351,-3.0497665,-0.13382497,1.9931623,-3.950387,0.4622473,-1.9277599,-1.5137975,-0.1441133,-2.6536229,0.70984685,0.047846455,-0.04532264,-4.4870386,-2.76682,4.327725,1.0947719,-1.4285039,1.3659972,1.6473781,-2.2294645,-2.532201,0.8547188,-3.2785904,-3.142491,1.5880475,-3.6402907,-0.65336585,-2.684002,-2.981577,-1.0025946,-4.25378,0.5220264,1.0908258,0.29695463,-2.8756056,-0.40896216
0.6535923,-0.4535838,-0.43938762,0.11278644,0.15354092,-0.69423836,0.3775714,0.07076818,-0.89248556,-1.2443467,-0.68583435,-0.11610015,0.7432394,1.9404134,-1.6480021,2.3670063,-1.8066216,-1.0595508,1.8496207,1.0891708,0.24139768,0.2903915,0.3975577,-0.019990012,-0.022358146,0.8983629,-0.5737041,-0.80657995,-0.84046024,1.9558327,0.6588765,-0.19879203,0.25147825,0.48203966,0.25105062,1.0591862,-0.8936301,-0.23139901,0.77278924,-1.6384463,0.23936768,-0.48966107,0.38454413,0.1968084,-0.61940217,0.24186315,-0.024918718,0.3610254,-0.7272329,0.6937892
-0.06281902,-0.11782882,0.21146764,-1.8125643,0.9784332,0.9840065,-0.5771101,-0.43662104,-1.2493623,0.71452683,0.61990017,0.42662367,-1.0130739,1.0666904,1.6698586,1.2304423,0.51248294,0.7573541,-1.7071838,0.4655512,-0.082787,1.0994904,-0.72318697,-0.44146606,-1.1144233,0.90277207,-1.280984,-0.970198,-1.1849002,-0.9594622,0.14206536,0.33778876,0.5110078,1.043049,0.40587112,0.31031498,0.70244324,-0.4549536,0.81939954,0.5943203,-0.45717055,-0.03680681,1.7271392,1.7101417,0.41934204,-0.588145,0.048990726,0.28346798,0.40052292,-1.4534242
1.511938,0.6026702,-1.5856546,-0.705429,2.309855,2.4784477,-1.7122954,-1.8234112,1.1691135,-2.7905583,-0.6778309,0.77327937,-0.19282722,0.8357016,0.54310155,1.2591836,-5.844302,2.659208,0.48013476,-0.7784655,1.1675553,2.648911,2.1709912,2.0675163,-3.0832453,-0.291903,1.2267741,1.5051216,-0.6068465,1.0606464,1.6950316,1.7841542,1.7856009,-1.1969889,0.026017932,4.5725937,4.29759,-2.331017,3.2966638,1.9772477,-1.0598361,-0.80779856,4.0947185,-4.784474,0.2711884,-5.1484413,7.105021,-0.79788315,-1.2086619,-0.8779393
0.5155051,0.70285684,0.3424158,0.9912789,-1.0657265,0.008384789,-0.17587069,0.73792034,0.38060784,1.3638597,-0.1853497,-0.9429758,0.37949032,-1.1307482,0.32271037,1.2006971,0.40208128,-0.5149431,-0.24581538,0.16775553,0.056176294,-0.2883021,0.83377147,-0.037542038,0.2082476,0.16858396,0.61614996,0.3758454,0.32201645,-1.4901456,0.33964536,-1.0643027,0.6195474,-0.019471249,-0.044433977,-0.14297868,0.14001028,0.2151523,0.38624832,-0.35057256,0.632805,0.76244354,-0.13797109,0.109243445,-0.49185616,0.36775833,-1.4872495,0.76486903,0.40246814,-1.5584131
1.8187413,0.6249115,-1.2399194,-1.3660548,2.0805264,-2.7789824,0.48309824,-0.076051265,0.606208,-0.8830873,-0.165049,-0.31470746,-0.594749,-0.9758807,1.188988,1.0587494,-0.06641068,0.119041406,0.06609509,0.63344586,0.107486024,-0.6359788,0.83422464,-1.0423872,-1.1732497,1.2513657,1.1897489,-0.23522419,-0.41277805,0.56286424,-0.6649988,0.6472578,1.3970277,1.575839,-0.855793,0.19021586,1.0469357,0.24633016,1.3496007,0.112277165,1.413043,0.5315621,0.5560332,-0.050401866,-0.25222555,1.6879287,-1.5105704,-1.0097045,-0.7916142,0.105898105
-0.38576603,-2.538302,-0.80940145,2.1168554,0.24248321,-1.3694146,-1.353914,0.71508515,0.5265249,-0.28925252,0.008226231,4.1457076,-1.3858054,0.85825473,-2.0938141,-0.15203626,-1.7143527,1.1431295,-0.52114594,-0.985005,3.591963,1.9465482,2.2208388,1.4775426,-3.7265186,0.8235037,0.1160339,2.6094291,0.23685768,1.2631099,-2.3077466,-0.18163094,-0.41254124,0.5347429,-0.83441126,1.3472317,3.3902445,1.4083769,-2.7926118,0.6208478,-1.2200179,-1.5695866,-0.38980693,0.060124405,3.0742357,1.5516386,-1.7062851,-1.2132813,2.3142796,1.189767
-0.22540033,-0.9090348,1.7005323,0.9537298,-1.4097478,0.3931154,-0.39059615,0.60035294,0.9381061,0.08527002,-1.7191705,-2.5569522,0.067762405,-0.9465924,-0.99212563,-1.074405,1.6280628,0.27002308,-0.607209,1.5402989,0.1336844,0.6048364,2.4364274,-1.9299529,-1.3367432,1.6533772,-0.29247487,0.063761294,-1.8154216,-1.516672,-0.80196774,-2.3858018,1.5059872,0.8661423,-1.7145082,-0.34524024,0.7805556,1.4548581,0.9368346,-0.5816491,-1.4563463,-0.94027036,2.0974295,1.6179826,-0.15780145,-0.5002245,-0.09582364,2.0071828,-0.3180694,-2.6114318
